#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1950-12-03 08:00:00,0,200,5,
1950-12-04 08:00:00,1.27,200,5,
1950-12-07 08:00:00,0,200,5,
1950-12-08 08:00:00,3.81,200,5,
1950-12-09 08:00:00,0,200,5,
1950-12-10 08:00:00,1.27,200,5,
1950-12-12 08:00:00,0,200,5,
1950-12-13 08:00:00,1.27,200,5,
1950-12-16 08:00:00,0,200,5,
1950-12-17 08:00:00,27.18,200,5,
1950-12-24 08:00:00,0,200,5,
1950-12-27 08:00:00,0,200,5,
1950-12-28 08:00:00,7.87,200,5,
1950-12-29 08:00:00,8.38,200,5,
1950-12-30 08:00:00,0,200,5,
1950-12-31 08:00:00,4.32,200,5,
1951-01-01 08:00:00,37.08,200,5,
1951-01-02 08:00:00,29.21,200,5,
1951-01-03 08:00:00,0.76,200,5,
1951-01-04 08:00:00,0,200,5,
1951-01-05 08:00:00,0.25,200,5,
1951-01-10 08:00:00,0,200,5,
1951-01-11 08:00:00,1.27,200,5,
1951-01-12 08:00:00,2.79,200,5,
1951-01-14 08:00:00,0,200,5,
1951-01-15 08:00:00,0.25,200,5,
1951-01-22 08:00:00,0,200,5,
1951-01-23 08:00:00,27.94,200,5,
1951-01-24 08:00:00,4.57,200,5,
1951-01-25 08:00:00,1.52,200,5,
1951-01-26 08:00:00,4.32,200,5,
1951-01-27 08:00:00,1.27,200,5,
1951-01-31 08:00:00,0,200,5,
1951-02-01 08:00:00,0.25,200,5,
1951-02-02 08:00:00,2.29,200,5,
1951-02-03 08:00:00,0,200,5,
1951-02-04 08:00:00,2.03,200,5,
1951-02-05 08:00:00,10.67,200,5,
1951-02-06 08:00:00,0,200,5,
1951-02-07 08:00:00,0.25,200,5,
1951-02-08 08:00:00,0,200,5,
1951-02-09 08:00:00,15.75,200,5,
1951-02-10 08:00:00,8.38,200,5,
1951-02-11 08:00:00,0,200,5,
1951-02-12 08:00:00,0.51,200,5,
1951-02-19 08:00:00,0,200,5,
1951-02-20 08:00:00,1.78,200,5,
1951-02-21 08:00:00,4.32,200,5,
1951-02-27 08:00:00,0,200,5,
1951-02-28 08:00:00,0.25,200,5,
1951-03-01 08:00:00,28.7,200,5,
1951-03-02 08:00:00,2.54,200,5,
1951-03-04 08:00:00,0,200,5,
1951-03-05 08:00:00,1.02,200,5,
1951-03-06 08:00:00,0.51,200,5,
1951-03-12 08:00:00,0,200,5,
1951-03-13 08:00:00,7.37,200,5,
1951-03-20 08:00:00,0,200,5,
